benchmark,thumb_size,method,rows,correct,accuracy,avg_text_tokens,avg_image_tokens,avg_total_tokens,avg_processor_time_sec,avg_generate_time_sec,avg_total_time_sec,avg_peak_allocated_mb,max_peak_allocated_mb,avg_peak_reserved_mb,max_peak_reserved_mb,avg_original_width,avg_original_height,avg_resized_width,avg_resized_height,accuracy_percent,vlm_single_accuracy,vlm_single_accuracy_percent,vlm_single_rows,vlm_single_correct
treebench,1440,THUMB_AREA_VLM_1440,405,174,0.42962962962962964,89.25925925925925,8132.207407407407,8221.466666666667,0.05569495365678916,0.28915201334074375,0.4461093401555411,9049.095224488812,9076.31591796875,9188.84938271605,9250.0,2152.316049382716,1614.7209876543209,1677.7185185185185,1267.4666666666667,42.96296296296296,0.451851852,45.1851852,405,183
treebench,1280,THUMB_AREA_VLM_1280,405,176,0.4345679012345679,89.25925925925925,6314.488888888889,6403.748148148148,0.038304788439501906,0.23366676519262009,0.36335087066911426,8926.021557918595,8952.13037109375,9050.123456790123,9110.0,2152.316049382716,1614.7209876543209,1491.3975308641975,1121.1061728395061,43.45679012345679,0.451851852,45.1851852,405,183
treebench,1080,THUMB_AREA_VLM_1080,405,177,0.43703703703703706,89.25925925925925,4549.60987654321,4638.869135802469,0.02761558661979592,0.18766124424434372,0.2975866361851791,8809.160772328318,8827.552734375,8896.617283950618,8936.0,2152.316049382716,1614.7209876543209,1255.7135802469136,952.9679012345679,43.7037037037037,0.451851852,45.1851852,405,183
treebench,960,THUMB_AREA_VLM_960,405,166,0.40987654320987654,89.25925925925925,3574.3802469135803,3663.6395061728394,0.024481143901118215,0.16553962767169714,0.2649133456419759,8760.775415943286,8771.84521484375,8815.881481481481,8854.0,2152.316049382716,1614.7209876543209,1120.0,845.8074074074074,40.98765432098765,0.451851852,45.1851852,405,183
treebench,840,THUMB_AREA_VLM_840,405,174,0.42962962962962964,89.25925925925925,2719.9604938271605,2809.2197530864196,0.01846393969624298,0.148295045516116,0.23562569457280239,8697.459393084491,8725.33935546875,8742.014814814815,8778.0,2152.316049382716,1614.7209876543209,982.074074074074,731.6641975308642,42.96296296296296,0.451851852,45.1851852,405,183
treebench,720,THUMB_AREA_VLM_720,405,171,0.4222222222222222,89.25925925925925,2006.5086419753086,2095.767901234568,0.015266563066664079,0.14213565102709363,0.22166439516551328,8646.78566261574,8670.66845703125,8678.785185185185,8712.0,2152.316049382716,1614.7209876543209,845.116049382716,633.4913580246914,42.22222222222222,0.451851852,45.1851852,405,183
treebench,600,THUMB_AREA_VLM_600,405,166,0.40987654320987654,89.25925925925925,1452.1975308641975,1541.4567901234568,0.013376131565455756,0.1477220780494339,0.22046216333820876,8594.682143373842,8630.451171875,8668.034567901235,8684.0,2152.316049382716,1614.7209876543209,697.3728395061728,533.1753086419753,40.98765432098765,0.451851852,45.1851852,405,183
treebench,480,THUMB_AREA_VLM_480,405,154,0.3802469135802469,89.25925925925925,876.0197530864198,965.279012345679,0.010861063928335538,0.14336318301973192,0.20823939316800485,8556.498259066359,8578.75439453125,8588.508641975308,8620.0,2152.316049382716,1614.7209876543209,559.8617283950617,423.1111111111111,38.02469135802469,0.451851852,45.1851852,405,183
treebench,420,THUMB_AREA_VLM_420,405,153,0.37777777777777777,89.25925925925925,652.3753086419753,741.6345679012346,0.009806874004855477,0.14221980420484157,0.20370994555046698,8539.526268325617,8557.06005859375,8570.938271604939,8578.0,2152.316049382716,1614.7209876543209,481.87654320987656,363.5851851851852,37.77777777777778,0.451851852,45.1851852,405,183
treebench,360,THUMB_AREA_VLM_360,405,144,0.35555555555555557,89.25925925925925,510.320987654321,599.5802469135803,0.008925491301207608,0.1419579638740108,0.20047093318519466,8528.893452208718,8546.8154296875,8548.232098765433,8578.0,2152.316049382716,1614.7209876543209,422.0740740740741,309.7283950617284,35.55555555555556,0.451851852,45.1851852,405,183
vstar,2160,THUMB_AREA_VLM_2160,191,159,0.8324607329842932,46.92670157068063,18120.712041884817,18167.638743455496,0.15310349376442578,0.7503135284973902,1.065627811680614,9720.053531986257,9748.2890625,9959.130890052356,10142.0,2246.2722513089006,1582.9790575916231,2578.785340314136,1846.2408376963351,83.24607329842932,0.816753927,81.6753927,191,156
